"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"53",7,"Jonah Coleman",DEN,"10","3 out of 5","4 out of 5","2 out of 5 stars","0"
"54",7,"Brian Robinson Jr.",ATL,"11","2 out of 5","4 out of 5","2 out of 5 stars","-4"
"55",7,"Braelon Allen",NYJ,"13","1 out of 5","4 out of 5","3 out of 5 stars","0"
"56",7,"Ray Davis",BUF,"7","4 out of 5","4 out of 5","2 out of 5 stars","+11"
"57",7,"Kimani Vidal",LAC,"7","1 out of 5","4 out of 5","3 out of 5 stars","+7"
"58",7,"Emmett Johnson",KC,"5","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"59",7,"Sean Tucker",TB,"10","4 out of 5","4 out of 5","2 out of 5 stars","+9"
"60",7,"Nicholas Singleton",TEN,"9","3 out of 5","4 out of 5","3 out of 5 stars","+2"
"61",7,"MarShawn Lloyd",GB,"11","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"62",7,"Mike Washington Jr.",LV,"13","3 out of 5","4 out of 5","2 out of 5 stars","-1"
"63",7,"Emanuel Wilson",SEA,"11","2 out of 5","4 out of 5","4 out of 5 stars","-4"
"64",7,"James Conner",ARI,"14","2 out of 5","4 out of 5","2 out of 5 stars","-8"
"65",7,"Jaydon Blue",DAL,"14","4 out of 5","4 out of 5","4 out of 5 stars","+1"
"66",7,"Kaytron Allen",WAS,"7","3 out of 5","4 out of 5","4 out of 5 stars","+3"
"67",7,"Jaylen Wright",MIA,"6","-","-","3 out of 5 stars","+4"
"68",8,"Justice Hill",BAL,"13","-","-","3 out of 5 stars","-10"
"69",8,"Ollie Gordon II",MIA,"6","3 out of 5","4 out of 5","3 out of 5 stars","+21"
"70",8,"George Holani",SEA,"11","3 out of 5","4 out of 5","4 out of 5 stars","+5"
"71",8,"Isaiah Davis",NYJ,"13","2 out of 5","4 out of 5","3 out of 5 stars","+56"
"72",8,"Demond Claiborne",MIN,"6","3 out of 5","4 out of 5","4 out of 5 stars","+2"
"73",8,"Chris Brooks",GB,"11","2 out of 5","4 out of 5","4 out of 5 stars","+40"
"74",8,"Jordan James",SF,"8","2 out of 5","4 out of 5","2 out of 5 stars","-11"
"75",8,"Ty Johnson",BUF,"7","-","-","2 out of 5 stars","+4"
"76",8,"DJ Giddens",IND,"13","3 out of 5","4 out of 5","4 out of 5 stars","+17"
"77",8,"LeQuint Allen Jr.",JAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","+33"
"78",8,"Samaje Perine",CIN,"6","1 out of 5","4 out of 5","2 out of 5 stars","+2"
"79",8,"Kaelon Black",SF,"8","4 out of 5","4 out of 5","2 out of 5 stars","-14"
"80",8,"Malik Davis",DAL,"14","-","-","4 out of 5 stars","+36"
"81",8,"Emari Demercado",KC,"5","1 out of 5","5 out of 5","3 out of 5 stars","+24"
"82",8,"Trey Benson",ARI,"14","2 out of 5","5 out of 5","2 out of 5 stars","-9"
"83",8,"Devin Singletary",NYG,"8","-","-","4 out of 5 stars","+12"
"84",8,"Brashard Smith",KC,"5","-","-","3 out of 5 stars","-2"
"85",8,"Devin Neal",NO,"8","2 out of 5","4 out of 5","3 out of 5 stars","-15"
"86",8,"Seth McGowan",IND,"13","3 out of 5","4 out of 5","4 out of 5 stars","-"
"87",8,"Kaleb Johnson",PIT,"9","2 out of 5","5 out of 5","2 out of 5 stars","-10"
"88",8,"Adam Randall",BAL,"13","4 out of 5","4 out of 5","3 out of 5 stars","+49"
"89",8,"Kendre Miller",NO,"8","2 out of 5","4 out of 5","3 out of 5 stars","+9"
"90",9,"Jerome Ford",WAS,"7","-","-","4 out of 5 stars","+19"
"91",9,"Tahj Brooks",CIN,"6","-","-","2 out of 5 stars","+43"
"92",9,"Trevor Etienne",CAR,"5","-","-","1 out of 5 stars","+44"
"93",9,"Jarquez Hunter",LAR,"11","-","-","5 out of 5 stars","-6"
"94",9,"Najee Harris",LAC,"7","1 out of 5","5 out of 5","3 out of 5 stars","-18"
"95",9,"Isaac Guerendo",SF,"8","-","-","2 out of 5 stars","-"
"96",9,"Jaleel McLaughlin",DEN,"10","-","-","2 out of 5 stars","-"
"97",9,"Audric Estime",NO,"8","-","-","3 out of 5 stars","+7"
"98",9,"Will Shipley",PHI,"10","-","-","4 out of 5 stars","+34"
"99",9,"Kareem Hunt",FA,"-","-","-","-","-16"
"100",9,"Joe Mixon",FA,"-","-","-","-","-28"
"101",9,"Eli Heidenreich",PIT,"9","-","-","2 out of 5 stars","0"
"102",9,"Bam Knight",ARI,"14","-","-","2 out of 5 stars","-"
"103",10,"Michael Carter",TEN,"9","-","-","3 out of 5 stars","-"
"104",10,"Jawhar Jordan",HOU,"8","-","-","4 out of 5 stars","+20"
"105",10,"Raheim Sanders",CLE,"11","-","-","3 out of 5 stars","-5"
"106",10,"J'Mari Taylor",JAC,"7","-","-","4 out of 5 stars","-"
"107",10,"Phil Mafah",DAL,"14","-","-","4 out of 5 stars","+35"
"108",10,"Nick Chubb",FA,"-","-","-","-","-24"
"109",10,"Jam Miller",NE,"11","-","-","2 out of 5 stars","+38"
"110",10,"Roschon Johnson",CHI,"10","-","-","2 out of 5 stars","-14"
"111",10,"Kyle Juszczyk",SF,"8","-","-","2 out of 5 stars","-33"
"112",10,"Rasheen Ali",BAL,"13","-","-","3 out of 5 stars","-"
"113",10,"Sione Vaki",DET,"6","-","-","5 out of 5 stars","+1"
"114",10,"Dameon Pierce",PHI,"10","-","-","4 out of 5 stars","-"
"115",10,"Damien Martinez",GB,"11","-","-","4 out of 5 stars","+28"
"116",10,"Austin Ekeler",FA,"-","-","-","-","-"
"117",10,"Terrell Jennings",NE,"11","-","-","2 out of 5 stars","-20"
"118",10,"Jeremy McNichols",WAS,"7","-","-","4 out of 5 stars","-"
"119",10,"Zavier Scott",MIN,"6","-","-","4 out of 5 stars","+27"
"120",10,"Tyler Goodson",ATL,"11","-","-","2 out of 5 stars","+19"
"121",10,"Hunter Luepke",DAL,"14","-","-","4 out of 5 stars","-29"
"122",10,"Khalil Herbert",SF,"8","-","-","2 out of 5 stars","-"
"123",10,"Dylan Laube",LV,"13","-","-","2 out of 5 stars","-"
"124",10,"Ty Chandler",NO,"8","-","-","3 out of 5 stars","-"
"125",10,"Robert Henry Jr.",WAS,"7","-","-","4 out of 5 stars","-"
"126",10,"Frank Gore Jr.",BUF,"7","-","-","2 out of 5 stars","-27"
"127",10,"Jaret Patterson",LAC,"7","-","-","3 out of 5 stars","-"
"128",10,"Jaydn Ott",KC,"5","-","-","3 out of 5 stars","-"
"129",10,"Kalel Mullings",TEN,"9","-","-","3 out of 5 stars","-"
"130",11,"Tyler Badie",DEN,"10","-","-","2 out of 5 stars","-"
"131",11,"Reggie Gilliam",NE,"11","-","-","2 out of 5 stars","-28"
"132",11,"Myles Montgomery",FA,"-","-","-","-","-"
"133",11,"Roman Hemby",LV,"13","-","-","2 out of 5 stars","-"
"134",11,"Cash Jones",ATL,"11","-","-","2 out of 5 stars","-"
"135",11,"Noah Whittington",HOU,"8","-","-","4 out of 5 stars","-"
"136",11,"Raheem Mostert",LV,"13","-","-","2 out of 5 stars","-"
"137",11,"Antonio Gibson",FA,"-","-","-","-","-"
"138",11,"Max Bredeson",MIN,"6","-","-","4 out of 5 stars","-36"
"139",11,"Miles Davis",CAR,"5","-","-","1 out of 5 stars","-"
"140",11,"Ronnie Rivers",LAR,"11","-","-","5 out of 5 stars","-28"
"141",11,"Miles Sanders",FA,"-","-","-","-","-"
"142",11,"AJ Dillon",CAR,"5","-","-","1 out of 5 stars","-34"
"143",11,"Elijah Mitchell",FA,"-","-","-","-","-"
"144",11,"Alec Ingold",LAC,"7","-","-","3 out of 5 stars","-18"
"145",11,"Patrick Ricard",NYG,"8","-","-","4 out of 5 stars","-39"
"146",11,"Michael Burton",CLE,"11","-","-","3 out of 5 stars","-"
"147",11,"Donovan Edwards",MIA,"6","-","-","3 out of 5 stars","-3"
"148",11,"Travis Homer",PIT,"9","-","-","2 out of 5 stars","-"
"149",11,"Sincere McCormick",SF,"8","-","-","2 out of 5 stars","-"
"150",11,"Pierre Strong Jr.",GB,"11","-","-","4 out of 5 stars","-"
"151",11,"Elijah Tau-Tolliver",BAL,"13","-","-","3 out of 5 stars","-"
"152",11,"Jamal Haynes",CIN,"6","-","-","2 out of 5 stars","-"
"153",11,"British Brooks",HOU,"8","-","-","4 out of 5 stars","-46"
"154",11,"Zamir White",SF,"8","-","-","2 out of 5 stars","-24"
"155",11,"CJ Donaldson",NO,"8","-","-","3 out of 5 stars","-"
"156",11,"Salvon Ahmed",CHI,"10","-","-","2 out of 5 stars","-"
"157",11,"Raheem Blackshear",DET,"6","-","-","5 out of 5 stars","-24"
"158",11,"Dontae McMillan",BAL,"13","-","-","3 out of 5 stars","-"
"159",11,"Ameer Abdullah",JAC,"7","-","-","4 out of 5 stars","-"
"160",12,"Kenny McIntosh",FA,"-","-","-","-","-"
"161",12,"Julius Chestnut",TEN,"9","-","-","3 out of 5 stars","-50"
"162",12,"Cam Akers",FA,"-","-","-","-","-"
"163",12,"Ja'Quinden Jackson",PHI,"10","-","-","4 out of 5 stars","-"
"164",12,"Dare Ogunbowale",LV,"13","-","-","2 out of 5 stars","-"
"165",12,"Brittain Brown",CHI,"10","-","-","2 out of 5 stars","-"
"166",12,"Jacob Saylors",DET,"6","-","-","5 out of 5 stars","-46"
"167",12,"Josh Williams",TB,"10","-","-","2 out of 5 stars","-42"
"168",12,"Corey Kiner",ARI,"14","-","-","2 out of 5 stars","-"
"169",12,"Alexander Mattison",FA,"-","-","-","-","-"
"170",12,"Chip Trayanum",NYJ,"13","-","-","3 out of 5 stars","-"
