rank|name|team|pos|bye|adp|cons|inj|oline|sos113|sos1416
76|Courtland Sutton|DEN|WR|10|83|88||A-|68|60
77|Trevor Lawrence|JAC|QB|7|77|81||C|73|79
78|Jaxson Dart|NYG|QB|8|85|84||B-|73|82
79|Blake Corum|LAR|RB|11|103|91||A|69|61
80|Jordan Addison|MIN|WR|6|106|89|Inj|D|75|65
81|Justin Herbert|LAC|QB|7|75|74||B-|68|72
82|DK Metcalf|PIT|WR|9|78|82||B|73|75
83|Parker Washington|JAC|WR|7|80|69||C|73|79
84|Kyle Monangai|CHI|RB|10|94|98||A|70|84
85|Michael Pittman|PIT|WR|9|98|103||B|73|75
86|Jordyn Tyson|NOR|WR|8|86|68|R|C+|69|79
87|Brian Thomas|JAC|WR|7|76|73||C|73|79
88|Jayden Higgins|HOU|WR|8|137|122||C+|80|76
89|Christian Watson|GNB|WR|11|64|63||C|65|72
90|JK Dobbins|DEN|RB|10|96|95||A-|61|83
91|Rachaad White|WAS|RB|7|112|110||C+|70|69
92|Dak Prescott|DAL|QB|14|69|86||A-|72|76
93|Tucker Kraft|GNB|TE|11|70|72|Inj|C|65|72
94|Sam Laporta|DET|TE|6|73|78||B+|65|50
95|Quentin Johnston|LAC|WR|7|104|97||B-|68|72
96|Jayden Reed|GNB|WR|11|109|101|Inj|C|65|72
97|Aaron Jones|MIN|RB|6|114|120||D|78|69
98|Bo Nix|DEN|QB|10|95|92||A-|68|60
99|Jake Ferguson|DAL|TE|14|116|127||A-|72|76
100|Patrick Mahomes|KAN|QB|5|90|94|Inj|C|65|68
101|Jakobi Meyers|JAC|WR|7|108|109||C|73|79
102|Makai Lemon|PHI|WR|10|99|96|R,Inj|B+|80|71
103|Wan'Dale Robinson|TEN|WR|9|111|106||D|80|90
104|Jordan Mason|MIN|RB|6|120|111||D|78|69
105|Kyle Pitts|ATL|TE|11|74|99||B+|71|64
106|Dalton Kincaid|BUF|TE|7|119|117||A-|70|67
107|Matthew Golden|GNB|WR|11|134|107||C|65|72
108|Chris Rodriguez|JAC|RB|7|159|123||C|68|72
109|Chris Godwin|TAM|WR|10|92|93||B|72|63
110|Kenneth Gainwell|TAM|RB|10|102|102||B|78|73
111|Michael Wilson|ARI|WR|14|93|100||C-|64|55
112|Matthew Stafford|LAR|QB|11|91|113||A|58|83
113|Jacory Croskey-Merritt|WAS|RB|7|115|108||C+|70|69
114|KC Concepcion|CLE|WR|11|129|115|R|C-|77|90
115|Ricky Pearsall|SFO|WR|8|161|132|Inj|B+|68|37
116|Brock Purdy|SFO|QB|8|89|90||B+|68|37
117|Jared Goff|DET|QB|6|100|116||B+|65|50
118|Josh Downs|IND|WR|13|105|105|Inj|B+|74|68
119|Travis Kelce|KAN|TE|5|101|126||C|65|68
120|Woody Marks|HOU|RB|8|136|130||C+|75|77
121|Jordan Love|GNB|QB|11|118|131||C|65|72
122|Romeo Doubs|NWE|WR|11|128|114||B+|65|52
123|Dylan Sampson|CLE|RB|11|170|160||C-|67|86
124|Nicholas Singleton|TEN|RB|9|187|201|R|D|74|75
125|Tyrone Tracy|NYG|RB|8|139|137||B-|61|75
126|Jonathon Brooks|CAR|RB|5|107|104||B|71|53
127|Isaiah Likely|NYG|TE|8|121|136||B-|73|82
128|Baker Mayfield|TAM|QB|10|117|129||B|72|63
129|Malik Willis|MIA|QB|6|130|128||C+|64|55
130|Kyler Murray|MIN|QB|6|110|124||D|75|65
131|Jalen Coker|CAR|WR|5|148|134||B|69|77
132|Isiah Pacheco|DET|RB|6|153|157||B+|78|82
133|Mark Andrews|BAL|TE|13|122|121||C+|73|81
134|Braelon Allen|NYJ|RB|13|270|179||C|74|72
135|Tyler Shough|NOR|QB|8|123|118||C+|69|79
136|Emmett Johnson|KAN|RB|5|185|200|R|C|67|55
137|Omar Cooper|NYJ|WR|13|173|144|R|C|66|64
138|Dallas Goedert|PHI|TE|10|113|119||B+|80|71
139|Kenyon Sadiq|NYJ|TE|13|145|158|R,Inj|C|66|64
140|George Kittle|SFO|TE|8|97|112|Inj|B+|68|37
141|Adam Randall|BAL|RB|13||251|R|C+|70|73
142|Cam Ward|TEN|QB|9|154|170||D|80|90
143|Xavier Worthy|KAN|WR|5|124|125|Inj|C|65|68
144|Zach Charbonnet|SEA|RB|11|126|145|Inj|A-|66|67
145|Alvin Kamara|NOR|RB|8|146|139||C+|79|76
146|Mike Washington|LVR|RB|13|183|192|R|D|65|50
147|Brenton Strange|JAC|TE|7|144|148||C|73|79
148|Emanuel Wilson|SEA|RB|11|350|235||A-|66|67
149|Khalil Shakir|BUF|WR|7|135|135||A-|70|67
150|Jerry Jeudy|CLE|WR|11|226|177||C-|77|90
151|CJ Stroud|HOU|QB|8|138|166||C+|80|76
152|Ray Davis|BUF|RB|7|272|208||A-|69|65
153|Denzel Boston|CLE|WR|11|169|150|R|C-|77|90
154|Oronde Gadsden|LAC|TE|7|140|169||B-|68|72
155|Brian Robinson|ATL|RB|11|175|173||B+|72|62
156|Tyler Allgeier|ARI|RB|14|158|133||C-|57|83
157|TJ Hockenson|MIN|TE|6|157|167||D|75|65
158|Kaelon Black|SFO|RB|8|317|210|R,Inj|B+|69|53
159|Jalen Nailor|LVR|WR|13|190|185||D|60|65
160|Hunter Henry|NWE|TE|11|152|153||B+|65|52
161|Tyjae Spears|TEN|RB|9|147|156|Inj|D|74|75
162|Jaydon Blue|DAL|RB|14|259|193||A-|66|68
163|Daniel Jones|IND|QB|13|142|149||B+|74|68
164|Travis Hunter|JAC|WR|7|181|142||C|73|79
165|Juwan Johnson|NOR|TE|8|150|159||C+|69|79
166|Jonah Coleman|DEN|RB|10|155|155|R|A-|61|83
167|Jalen McMillan|TAM|WR|10|164|147|Inj|B|72|63
168|Rashid Shaheed|SEA|WR|11|141|138||A-|66|49
169|Connor Heyward|LVR|RB|13|||D|65|50
170|Jauan Jennings|MIN|WR|6|171|184||D|75|65
171|Bryce Young|CAR|QB|5|162|187||B|69|77
172|Antonio Williams|WAS|WR|7|291|202|R|C+|69|72
173|Keaton Mitchell|LAC|RB|7|166|165||B-|62|67
174|Kaytron Allen|WAS|RB|7|282|198|R|C+|70|69
175|Samaje Perine|CIN|RB|6||264||B-|68|77
176|Calvin Ridley|TEN|WR|9|263|207||D|80|90
177|Lucas Scott|BAL|RB|13|||C+|70|73
178|Troy Franklin|DEN|WR|10|339|245||A-|68|60
179|Brandon Aiyuk|SFO|WR|8|203|||B+|68|37
180|Dalton Schultz|HOU|TE|8|163|186||C+|80|76
181|Tank Bigsby|PHI|RB|10|180|168||B+|73|42
182|Kaleb Johnson|PIT|RB|9||298||B|69|70
183|Sam Darnold|SEA|QB|11|143|162||A-|66|49
184|Zachariah Branch|ATL|WR|11|297|190|R|B+|71|64
185|Rashod Bateman|BAL|WR|13|336|220||C+|73|81
186|Chig Okonkwo|WAS|TE|7|156|154||C+|69|72
187|Germie Bernard|PIT|WR|9|296|195|R|B|73|75
188|Tre Tucker|LVR|WR|13|250|176||D|60|65
189|Tank Dell|HOU|WR|8|266|205|Inj|C+|80|76
190|Kimani Vidal|LAC|RB|7|277|214||B-|62|67
191|Demond Claiborne|MIN|RB|6|318|234|R|D|78|69
192|Ben Vansumeren|BUF|RB|7|||A-|69|65
193|Ryan Flournoy|DAL|WR|14|290|163||A-|72|76
194|Tre' Harris|LAC|WR|7|276|174||B-|68|72
195|Chris Brooks|GNB|RB|11||246||C|75|74
196|Marshawn Lloyd|GNB|RB|11|323|164||C|75|74
197|Sean Tucker|TAM|RB|10|294|196||B|78|73
198|Malachi Fields|NYG|WR|8||222|R|B-|73|82
199|Darnell Mooney|NYG|WR|8|327|232||B-|73|82
200|Pat Freiermuth|PIT|TE|9|184|219||B|73|75
201|Kayshon Boutte|NWE|WR|11|273|197||B+|65|52
202|Chris Bell|MIA|WR|6||223|R,Inj|C+|64|55
203|Adonai Mitchell|NYJ|WR|13|254|175||C|66|64
204|Lequint Allen|JAC|RB|7||286||C|68|72
205|Bam Knight|ARI|RB|14|342|381||C-|57|83
206|James Conner|ARI|RB|14|188|231|Inj|C-|57|83
207|Trey Benson|ARI|RB|14||268||C-|57|83
208|Greg Dulcich|MIA|TE|6|195|206|Inj|C+|64|55
209|Isaac Teslaa|DET|WR|6|200|181||B+|65|50
210|Elijah Sarratt|BAL|WR|13||252|R|C+|73|81
211|AJ Barner|SEA|TE|11|176|178||A-|66|49
212|Malik Washington|MIA|WR|6|248|209||C+|64|55
213|Courtney Jackson|TEN|WR|9|||D|80|90
214|Chimere Dike|TEN|WR|9||259||D|80|90
215|Elic Ayomanor|TEN|WR|9||270||D|80|90
216|Gunnar Helm|TEN|TE|9|271|191||D|80|90
217|Ted Hurst|TAM|WR|10||247|R|B|72|63
218|Ollie Gordon|MIA|RB|6||242||C+|71|84
219|Jaylen Wright|MIA|RB|6|351|265||C+|71|84
220|Brady Russell|SEA|RB|11|||A-|66|67
221|Robbie Ouzts|SEA|RB|11|||Inj|A-|66|67
222|Isaiah Bond|CLE|WR|11||341||C-|77|90
223|Andrei Iosivas|CIN|WR|6||318||B-|79|88
224|Jordan Moore|CIN|WR|6|||B-|79|88
225|De'Zhaun Stribling|SFO|WR|8|182|151|R|B+|68|37
226|Velus Jones|SEA|RB|11|||A-|66|67
227|Terrance Ferguson|LAR|TE|11|189|183||A|58|83
228|Jordan James|SFO|RB|8|325|228||B+|69|53
229|David Njoku|LAC|TE|7|192|230||B-|68|72
230|Pat Bryant|DEN|WR|10||212||A-|68|60
231|TY Johnson|BUF|RB|7||287|Inj|A-|69|65
232|Geno Smith|NYJ|QB|13|309|238||C|66|64
233|Chris Brazzell|CAR|WR|5||248|R,Inj|B|69|77
234|Justice Hill|BAL|RB|13|328|225||C+|70|73
235|Josh Kelly|HOU|WR|8|||C+|80|76
236|Jaylin Noel|HOU|WR|8||241|Inj|C+|80|76
237|Calvin Austin|NYG|WR|8||387||B-|73|82
238|Darius Slayton|NYG|WR|8||289||B-|73|82
239|Jacoby Brissett|ARI|QB|14|241|221||C-|64|55
240|Colby Parkinson|LAR|TE|11|306|258||A|58|83
241|Kendre Miller|NOR|RB|8||312|Inj|C+|79|76
242|Ja'Kobi Lane|BAL|WR|13||250|R|C+|73|81
243|Devontez Walker|BAL|WR|13||377||C+|73|81
244|Marquise Brown|PHI|WR|10||304||B+|80|71
245|Dontayvion Wicks|PHI|WR|10|349|227||B+|80|71
246|Devaughn Vele|NOR|WR|8||285||C+|69|79
247|Traeshon Holden|DAL|WR|14|||A-|72|76
248|Kavontae Turpin|DAL|WR|14||358||A-|72|76
249|George Holani|SEA|RB|11||233||A-|66|67
250|Oscar Delp|NOR|TE|8||334|R|C+|69|79
251|Tahj Brooks|CIN|RB|6||320||B-|68|77
252|Aaron Rodgers|PIT|QB|9|179|229||B|73|75
253|Brashard Smith|KAN|RB|5||302||C|67|55
254|Evan Engram|DEN|TE|10||288||A-|68|60
255|Deshaun Watson|CLE|QB|11||308||C-|77|90
256|DJ Giddens|IND|RB|13||274|Inj|B+|70|70
257|Malik Davis|DAL|RB|14||309||A-|66|68
258|Eli Stowers|PHI|TE|10|304|218|R|B+|80|71
259|Cade Otton|TAM|TE|10|284|224||B|72|63
260|Fernando Mendoza|LVR|QB|13|160|213|R|D|60|65
261|Devin Neal|NOR|RB|8||296|Inj|C+|79|76
262|Miles Davis|CAR|RB|5||531||B|71|53
263|Mike Gesicki|CIN|TE|6||269||B-|79|88
264|Zavier Scott|MIN|RB|6||463||D|78|69
265|Shedeur Sanders|CLE|QB|11|332|310||C-|77|90
266|Theo Johnson|NYG|TE|8||303||B-|73|82
267|Michael Penix|ATL|QB|11|326|300|Inj|B+|71|64
268|Kirk Cousins|LVR|QB|13||319||D|60|65
269|Jake Tonges|SFO|TE|8|322|281||B+|68|37
270|JJ McCarthy|MIN|QB|6||327||D|75|65
271|TY Simpson|LAR|QB|11||333|R|A|58|83
272|Elijah Arroyo|SEA|TE|11||326||A-|66|49
273|Drew Allar|PIT|QB|9|||R|B|73|75
274|Max Klare|LAR|TE|11||311|R|A|58|83
275|Michael Mayer|LVR|TE|13||307||D|60|65
276|Carson Beck|ARI|QB|14||342|R|C-|64|55
277|Justin Fields|KAN|QB|5||354||C|65|68
278|Mason Taylor|NYJ|TE|13||297||C|66|64
279|Ja'Tavion Sanders|CAR|TE|5||331||B|69|77
280|Carter Bradley|JAC|QB|7|||C|73|79
281|Joe Flacco|CIN|QB|6||434||B-|79|88
282|Jameis Winston|NYG|QB|8||476||B-|73|82
283|Mac Jones|SFO|QB|8||399||B+|68|37
284|Brandon Allen|NYG|QB|8|308|||B-|73|82
285|Anthony Richardson|IND|QB|13||370||B+|74|68
286|Will Grier|CAR|QB|5|||B|69|77
287|Sean Clifford|CIN|QB|6|||B-|79|88
288|Seth Henigan|IND|QB|13|||B+|74|68
289|Sam Hartman|WAS|QB|7|||C+|69|72
290|Stetson Bennett|LAR|QB|11|329|||A|58|83
291|Max Brosmer|MIN|QB|6|220|||D|75|65
292|DJ Uiagalelei|LAC|QB|7|||B-|68|72
293|Kyle Allen|BUF|QB|7|||A-|70|67
294|Jake Browning|TAM|QB|10|||B|72|63
295|Connor Bazelak|TAM|QB|10|||B|72|63
296|Tyson Bagent|CHI|QB|10|||A|68|66
297|Cade Klubnik|NYJ|QB|13||430|R|C|66|64
298|Andy Dalton|PHI|QB|10|||B+|80|71
299|Teddy Bridgewater|DET|QB|6|||B+|65|50
300|Tua Tagovailoa|ATL|QB|11|300|263|Inj|B+|71|64
301|Shane Buechele|BUF|QB|7|||A-|70|67
302|Brady Cook|NYJ|QB|13|285|||C|66|64
