rank|name|team|pos|avg
85|C. Godwin Jr.|TB|WR|86.7
86|S. Diggs|WAS|WR|89.3
87|M. Wilson|ARI|WR|89.8
88|Q. Johnston|LAC|WR|90.0
89|J.K. Dobbins|DEN|RB|90.2
90|R. Dowdle|PIT|RB|90.7
91|A. Pierce|IND|WR|92.8
92|G. Kittle|SF|TE|95.2
93|J. Croskey-Merritt|WAS|RB|95.5
94|B. Purdy|SF|QB|96.5
95|B. Corum|LAR|RB|96.7
96|C. Hubbard|CAR|RB|96.8
97|J. Addison|MIN|WR|98.0
98|M. Pittman Jr.|PIT|WR|99.5
99|Bo Nix|DEN|QB|99.8
100|J. Mason|MIN|RB|100.7
101|J. Dart|NYG|QB|100.8
102|RJ Harvey|DEN|RB|101.7
103|C. Sutton|DEN|WR|101.8
104|J. Reed|GB|WR|101.8
105|K. Monangai|CHI|RB|103.2
106|M. Lemon|PHI|WR|104.7
107|M. Golden|GB|WR|104.8
108|D. Kincaid|BUF|TE|109.0
109|K. Murray|MIN|QB|110.5
110|R. White|WAS|RB|111.2
111|M. Stafford|LAR|QB|113.8
112|C. Rodriguez Jr.|JAC|RB|114.7
113|P. Mahomes II|KC|QB|115.0
114|J. Coker|CAR|WR|116.3
115|K. Gainwell|TB|RB|119.0
116|D. Stribling|SF|WR|119.2
117|T. Kelce|KC|TE|119.2
118|J. Goff|DET|QB|119.3
119|J. Meyers|JAC|WR|120.0
120|D. Goedert|PHI|TE|120.7
121|J. Higgins|HOU|WR|121.5
122|I. Likely|NYG|TE|121.7
123|R. Doubs|NE|WR|122.8
124|KC Concepcion|CLE|WR|123.0
125|W. Robinson|TEN|WR|126.8
126|M. Andrews|BAL|TE|127.0
127|X. Worthy|KC|WR|129.0
128|K. Mitchell|LAC|RB|129.2
129|A. Jones Sr.|MIN|RB|130.0
130|M. Willis|MIA|QB|131.5
131|J. Love|GB|QB|134.2
132|T. Tracy Jr.|NYG|RB|135.0
133|B. Mayfield|TB|QB|135.2
134|R. Shaheed|SEA|WR|136.5
135|T. Shough|NO|QB|138.2
136|T. Bigsby|PHI|RB|139.7
137|D. Samuel Sr.|SF|WR|140.2
138|Z. Charbonnet|SEA|RB|143.3
139|J. Ferguson|DAL|TE|143.3
140|T. Allgeier|ARI|RB|144.7
141|W. Marks|HOU|RB|145.5
142|K. Shakir|BUF|WR|147.7
143|D. Boston|CLE|WR|151.0
144|T. Spears|TEN|RB|152.8
145|J. McMillan|TB|WR|153.3
146|T. Hunter|JAC|WR|154.5
147|C. Okonkwo|WAS|TE|155.7
148|J. Nailor|LV|WR|156.2
149|J. Johnson|NO|TE|156.8
150|A. Mitchell|NYJ|WR|157.2
151|HOU DST|HOU|DST|158.3
152|A. Kamara|NO|RB|160.0
153|B. Robinson Jr.|ATL|RB|161.3
154|D. Jones|IND|QB|163.3
155|J. Coleman|DEN|RB|163.8
156|S. Darnold|SEA|QB|166.3
157|LAR DST|LAR|DST|167.2
158|SEA DST|SEA|DST|168.0
159|C. Ward|TEN|QB|168.8
160|DEN DST|DEN|DST|169.3
161|D. Sampson|CLE|RB|169.3
162|C.J. Stroud|HOU|QB|169.3
163|B. Aubrey|DAL|K|170.0
164|I. Pacheco|DET|RB|172.0
165|B. Strange|JAC|TE|173.0
166|H. Henry|NE|TE|173.2
167|R. Davis|BUF|RB|177.3
168|K. Fairbairn|HOU|K|177.8
169|J. Blue|DAL|RB|179.0
170|M. Washington Jr.|LV|RB|179.5
171|B. Young|CAR|QB|179.8
172|M. Lloyd|GB|RB|192.0
173|NE DST|NE|DST|184.0
174|PHI DST|PHI|DST|184.2
175|T. Tucker|LV|WR|185.2
176|G. Dulcich|MIA|TE|185.7
177|O. Gadsden II|LAC|TE|186.2
178|C. Dicker|LAC|K|186.3
179|R. Flournoy|DAL|WR|195.7
180|AJ Barner|SEA|TE|188.0
181|MIN DST|MIN|DST|188.7
182|PIT DST|PIT|DST|191.2
183|BAL DST|BAL|DST|191.2
184|C. Little|JAC|K|192.2
185|D. Wicks|PHI|WR|201.3
186|JAC DST|JAC|DST|193.3
187|T. Ferguson|LAR|TE|193.3
188|E. Johnson|KC|RB|194.0
189|T.J. Hockenson|MIN|TE|196.5
190|J. Myers|SEA|K|197.7
191|O. Cooper Jr.|NYJ|WR|208.7
192|LAC DST|LAC|DST|201.2
193|P. Bryant|DEN|WR|210.8
194|E. Pineiro|SF|K|202.7
195|J. Jennings|MIN|WR|203.5
196|K. Sadiq|NYJ|TE|204.7
197|KC DST|KC|DST|205.2
198|T. Harris|LAC|WR|214.3
199|D. Schultz|HOU|TE|205.5
200|T. Loop|BAL|K|206.8
201|N. Singleton|TEN|RB|208.3
202|C. Santos|CHI|K|208.3
203|GB DST|GB|DST|218.8
204|J. Jeudy|CLE|WR|219.2
205|M. Washington|MIA|WR|220.3
206|B. Allen|NYJ|RB|222.5
207|I. TeSlaa|DET|WR|222.7
208|J. Brissett|ARI|QB|215.2
209|C. Allen|KC|WR|225.0
210|K. Boutte|NE|WR|216.3
211|J. Bates|DET|K|217.0
212|S. Tucker|TB|RB|226.5
213|G. Helm|TEN|TE|222.5
214|F. Mendoza|LV|QB|223.0
215|K. Allen|WAS|RB|233.0
216|J. Lane|BAL|WR|234.5
217|H. Mevis|LAR|K|226.2
218|G. Smith|NYJ|QB|227.5
219|R. Bateman|BAL|WR|238.2
220|O. Gordon II|MIA|RB|239.0
221|BUF DST|BUF|DST|239.0
222|W. Reichard|MIN|K|230.3
223|G. Holani|SEA|RB|240.3
224|J. Conner|ARI|RB|240.3
225|C. Douglas|MIA|WR|243.2
226|E. McPherson|CIN|K|252.3
227|A. Rodgers|PIT|QB|234.3
228|A. Williams|WAS|WR|245.0
229|C. Ridley|TEN|WR|246.5
230|J. Noel|HOU|WR|247.5
231|P. Freiermuth|PIT|TE|239.0
232|Z. Branch|ATL|WR|248.3
233|C. Otton|TB|TE|240.0
234|C. McLaughlin|TB|K|250.0
235|I. Davis|NYJ|RB|250.2
236|T. Thornton|KC|WR|250.2
237|SF DST|SF|DST|250.5
238|A. Borregales|NE|K|250.7
239|K. Vidal|LAC|RB|260.7
240|C. Kupp|SEA|WR|252.0
241|G. Bernard|PIT|WR|252.5
242|T. Dell|HOU|WR|262.2
243|C. Boswell|PIT|K|253.8
244|J. Hill|BAL|RB|255.0
245|J. James|SF|RB|255.8
246|DET DST|DET|DST|256.2
247|W. Lutz|DEN|K|267.7
248|D. Mooney|NYG|WR|270.8
249|E. Engram|DEN|TE|253.3
250|C. Parkinson|LAR|TE|263.0
251|H. Butker|KC|K|265.0
252|D. Claiborne|MIN|RB|275.0
253|K. Black|SF|RB|275.7
254|E. Sarratt|BAL|WR|276.0
255|S. Perine|CIN|RB|267.3
256|T. Tagovailoa|ATL|QB|267.5
257|J. Bech|LV|WR|277.2
258|D. Slayton|NYG|WR|279.8
259|M. Fields|NYG|WR|271.0
260|C. Bell|MIA|WR|271.2
261|T. Franklin|DEN|WR|280.7
262|J. Wright|MIA|RB|282.2
263|T. Hurst III|TB|WR|282.3
264|IND DST|IND|DST|292.3
265|M. Penix Jr.|ATL|QB|266.7
266|ATL DST|ATL|DST|294.3
267|CHI DST|CHI|DST|295.0
268|E. Wilson|SEA|RB|286.0
269|K. Cousins|LV|QB|277.2
270|K. Allen|LAC|WR|286.5
271|J. Dotson|ATL|WR|295.7
272|DJ Giddens|IND|RB|289.2
273|T. Smack|GB|K|307.8
274|NYG DST|NYG|DST|308.7
275|C. Smyth|NO|K|299.8
276|E. Stowers|PHI|TE|291.5
277|D. Njoku|LAC|TE|291.8
278|C. Brooks|GB|RB|293.2
279|E. Demercado|KC|RB|293.3
280|D. Washington|PIT|TE|293.7
281|K. Coleman|BUF|WR|285.0
282|M. Gesicki|CIN|TE|294.2
283|T. Horton|SEA|WR|294.5
284|S. Sanders|CLE|QB|295.2
285|S. McGowan|IND|RB|304.5
286|DAL DST|DAL|DST|314.0
287|CLE DST|CLE|DST|305.0
288|NO DST|NO|DST|305.0
289|TB DST|TB|DST|315.5
290|E. Ayomanor|TEN|WR|297.5
291|D. Watson|CLE|QB|290.5
292|D. Vele|NO|WR|291.3
293|M. Taylor|NYJ|TE|300.5
294|CIN DST|CIN|DST|329.0
295|A. Randall|BAL|RB|320.8
296|T. Brooks|CIN|RB|322.5
297|B. Aiyuk|SF|WR|313.5
298|M. Davis|DAL|RB|322.8
299|X. Legette|CAR|WR|323.0
300|CAR DST|CAR|DST|333.0
301|S. Bell|BUF|WR|324.0
302|Ty Johnson|BUF|RB|324.8
303|J. Tolbert|MIA|WR|325.7
304|E. All Jr.|CIN|TE|316.7
305|T. Higbee|LAR|TE|334.8
306|N. Harris|LAC|RB|335.7
307|L. Allen Jr.|JAC|RB|308.7
308|P. Mafah|DAL|RB|335.8
309|TEN DST|TEN|DST|336.2
310|C. Dike|TEN|WR|327.3
311|J. Tonges|SF|TE|327.5
312|M. Benson|LV|WR|337.8
313|T. Burks|WAS|WR|329.2
314|A. Dulin|IND|WR|338.3
315|C. Kirk|SF|WR|329.3
316|B. Thompson|LAC|WR|338.7
317|D. Neal|NO|RB|329.7
318|E. Raridon|NE|TE|339.3
319|I. Bond|CLE|WR|330.5
320|C. Beck|ARI|QB|330.5
321|C. Kolar|LAC|TE|339.8
322|D. Douglas|NE|WR|340.3
323|T. Benson|ARI|RB|331.3
324|A. Iosivas|CIN|WR|340.7
325|M. Evans|CAR|TE|341.0
326|M. Mims Jr.|DEN|WR|323.2
327|L. McCaffrey|WAS|WR|341.3
328|D. Singletary|NYG|RB|332.5
329|J. Palmer|BUF|WR|341.7
330|O. Delp|NO|TE|342.2
331|K. Johnson|PIT|RB|333.7
332|T. Johnson|NYG|TE|333.8
333|K. Miller|NO|RB|343.2
334|J. Jordan|HOU|RB|344.0
335|S. Vaki|DET|RB|344.2
336|T. Etienne|CAR|RB|335.2
337|R. Sanders|CLE|RB|344.5
338|CJ Daniels|LAR|WR|344.8
339|C. Young|CIN|WR|345.0
340|R. Virgil|ARI|WR|345.2
341|B. Smith|KC|RB|336.3
342|S. Williams|GB|WR|345.5
343|D. Carlson|LV|K|345.7
344|Z. Thomas|CHI|WR|345.7
345|M. Jones|SF|QB|345.8
346|K. Williams|NE|WR|345.8
347|R. Wilson|PIT|WR|345.8
348|M. Hollins|NE|WR|346.0
349|H. Brown|PHI|WR|346.2
350|C. Austin III|NYG|WR|346.2
351|J. Whittington|LAR|WR|346.3
352|K. Bourne|ARI|WR|346.5
353|R. Johnson|CHI|RB|346.8
354|J. Hunter|LAR|RB|347.2
355|J. Elliott|PHI|K|347.7
