"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"135",10,"CJ Daniels",LAR,"11","-","-","1 out of 5 stars","-"
"136",10,"Nick Westbrook-Ikhine",IND,"13","-","-","4 out of 5 stars","+20"
"137",10,"Kalif Raymond",CHI,"10","-","-","3 out of 5 stars","-22"
"138",10,"KaVontae Turpin",DAL,"14","-","-","2 out of 5 stars","-33"
"139",10,"Zavion Thomas",CHI,"10","-","-","3 out of 5 stars","-13"
"140",10,"Malik Benson",LV,"13","-","-","2 out of 5 stars","-"
"141",10,"Jordan Whittington",LAR,"11","-","-","1 out of 5 stars","-21"
"142",10,"Ashton Dulin",IND,"13","-","-","4 out of 5 stars","-"
"143",10,"Devontez Walker",BAL,"13","-","-","4 out of 5 stars","-19"
"144",10,"Roman Wilson",PIT,"9","-","-","3 out of 5 stars","-35"
"145",10,"Deion Burks",IND,"13","-","-","4 out of 5 stars","-"
"146",10,"Demarcus Robinson",SF,"8","-","-","2 out of 5 stars","-"
"147",10,"Dyami Brown",WAS,"7","-","-","2 out of 5 stars","-"
"148",10,"Greg Dortch",DET,"6","-","-","4 out of 5 stars","-"
"149",10,"Colbie Young",CIN,"6","-","-","4 out of 5 stars","-"
"150",11,"Tai Felton",MIN,"6","-","-","5 out of 5 stars","-"
"151",11,"Mitch Tinsley",CIN,"6","-","-","4 out of 5 stars","-"
"152",11,"Elijah Moore",PHI,"10","-","-","4 out of 5 stars","-"
"153",11,"Jahdae Walker",CHI,"10","-","-","3 out of 5 stars","-41"
"154",11,"DeAndre Hopkins",BAL,"13","-","-","4 out of 5 stars","-"
"155",11,"Odell Beckham Jr.",NYG,"8","-","-","4 out of 5 stars","-54"
"156",11,"Marquez Valdes-Scantling",DAL,"14","-","-","2 out of 5 stars","-"
"157",11,"Brandin Cooks",FA,"-","-","-","-","-"
"158",11,"Theo Wease Jr.",MIA,"6","-","-","3 out of 5 stars","-"
"159",11,"Xavier Smith",LAR,"11","-","-","1 out of 5 stars","-"
"160",11,"Xavier Restrepo",TEN,"9","-","-","3 out of 5 stars","-"
"161",11,"Reggie Virgil",ARI,"14","-","-","2 out of 5 stars","-"
"162",11,"Tyler Lockett",LV,"13","-","-","2 out of 5 stars","-"
"163",11,"Tim Patrick",NYJ,"13","-","-","4 out of 5 stars","-"
"164",11,"Josh Cameron",JAC,"7","-","-","4 out of 5 stars","-"
"165",11,"Jimmy Horn Jr.",CAR,"5","-","-","2 out of 5 stars","-44"
"166",11,"Anthony Gould",IND,"13","-","-","4 out of 5 stars","-"
"167",11,"Jake Bobo",SEA,"11","-","-","3 out of 5 stars","-44"
"168",11,"KeAndre Lambert-Smith",LAC,"7","-","-","2 out of 5 stars","-"
"169",11,"Lil'Jordan Humphrey",DEN,"10","-","-","2 out of 5 stars","-62"
"170",11,"Diontae Johnson",FA,"-","-","-","-","-"
"171",11,"Jermaine Burton",FA,"-","-","-","-","-"
"172",11,"Van Jefferson",WAS,"7","-","-","2 out of 5 stars","-"
"173",11,"Scotty Miller",CHI,"10","-","-","3 out of 5 stars","-"
"174",11,"JuJu Smith-Schuster",NYG,"8","-","-","4 out of 5 stars","-68"
"175",11,"Jacob Cowing",SF,"8","-","-","2 out of 5 stars","-"
"176",11,"Michael Woods II",DEN,"10","-","-","2 out of 5 stars","-"
"177",11,"Efton Chism III",NE,"11","-","-","2 out of 5 stars","-60"
"178",11,"Skyy Moore",GB,"11","-","-","5 out of 5 stars","-45"
"179",11,"Myles Price",MIN,"6","-","-","5 out of 5 stars","-"
"180",11,"David Sills V",TB,"10","-","-","4 out of 5 stars","-"
"181",11,"Jonathan Mingo",DAL,"14","-","-","2 out of 5 stars","-50"
"182",11,"Kevin Austin Jr.",NO,"8","-","-","3 out of 5 stars","-"
"183",11,"Derius Davis",LAC,"7","-","-","2 out of 5 stars","-"
"184",11,"Kendrick Law",DET,"6","-","-","4 out of 5 stars","-"
"185",11,"Gabe Davis",FA,"-","-","-","-","-"
"186",11,"Coleman Owen",IND,"13","-","-","4 out of 5 stars","-"
"187",11,"Montorie Foster Jr.",SEA,"11","-","-","3 out of 5 stars","-"
"188",11,"Jeshaun Jones",MIN,"6","-","-","5 out of 5 stars","-"
"189",11,"Jakobie Keeney-James",PIT,"9","-","-","3 out of 5 stars","-"
"190",11,"Jordan Watkins",SF,"8","-","-","2 out of 5 stars","-"
"191",11,"Isaiah Williams",FA,"-","-","-","-","-"
"192",12,"Tahj Washington",MIA,"6","-","-","3 out of 5 stars","-"
"193",12,"Arian Smith",NYJ,"13","-","-","4 out of 5 stars","-"
"194",12,"Juice Wells Jr.",ATL,"11","-","-","3 out of 5 stars","-"
"195",12,"Darius Cooper",PHI,"10","-","-","4 out of 5 stars","-65"
"196",12,"Curtis Samuel",FA,"-","-","-","-","-54"
"197",12,"Isaiah Williams",NYJ,"13","-","-","4 out of 5 stars","-"
"198",12,"Kendric Pryor",CIN,"6","-","-","4 out of 5 stars","-"
"199",12,"Bub Means",NO,"8","-","-","3 out of 5 stars","-"
"200",12,"Mecole Hardman Jr.",BUF,"7","-","-","4 out of 5 stars","-"
"201",12,"Dominic Lovett",DET,"6","-","-","4 out of 5 stars","-"
"202",12,"Kaden Wetjen",PIT,"9","-","-","3 out of 5 stars","-"
"203",12,"Michael Wortham",JAC,"7","-","-","4 out of 5 stars","-"
"204",12,"Terrace Marshall Jr.",MIA,"6","-","-","3 out of 5 stars","-"
"205",12,"Emmanuel Henderson Jr.",SEA,"11","-","-","3 out of 5 stars","-"
"206",12,"Bo Melton",GB,"11","-","-","5 out of 5 stars","-79"
"207",12,"Xavier Weaver",ARI,"14","-","-","2 out of 5 stars","-"
"208",12,"Jared Wayne",HOU,"8","-","-","3 out of 5 stars","-"
"209",12,"Mason Tipton",NO,"8","-","-","3 out of 5 stars","-"
"210",12,"Maurice Alexander",CHI,"10","-","-","3 out of 5 stars","-"
"211",12,"Barion Brown",NO,"8","-","-","3 out of 5 stars","-82"
"212",12,"Tyler Scott",LAR,"11","-","-","1 out of 5 stars","-"
"213",12,"Justin Watson",HOU,"8","-","-","3 out of 5 stars","-"
"214",12,"Dohnte Meyers",CIN,"6","-","-","4 out of 5 stars","-"
"215",12,"Casey Washington",CAR,"5","-","-","2 out of 5 stars","-"
"216",12,"Jalin Hyatt",NYG,"8","-","-","4 out of 5 stars","-"
"217",12,"Ben Skowronek",PIT,"9","-","-","3 out of 5 stars","-85"
"218",12,"Bryce Oliver",TEN,"9","-","-","3 out of 5 stars","-"
"219",12,"Michael Bandy",DEN,"10","-","-","2 out of 5 stars","-"
"220",12,"Chris Blair",ATL,"11","-","-","3 out of 5 stars","-"
"221",12,"Cedrick Wilson Jr.",DET,"6","-","-","4 out of 5 stars","-"
"222",12,"Michael Briscoe",MIN,"6","-","-","5 out of 5 stars","-"
"223",12,"Dylan Drummond",ATL,"11","-","-","3 out of 5 stars","-"
"224",12,"David Moore",CAR,"5","-","-","2 out of 5 stars","-"
"225",12,"Isaiah Hodgins",NYG,"8","-","-","4 out of 5 stars","-"
"226",12,"Brandon Johnson",LV,"13","-","-","2 out of 5 stars","-"
"227",12,"Malachi Corley",CLE,"11","-","-","3 out of 5 stars","-"
"228",12,"Brycen Tremayne",CAR,"5","-","-","2 out of 5 stars","-"
"229",12,"Tyler Johnson",DAL,"14","-","-","2 out of 5 stars","-"
"230",12,"Noah Brown",FA,"-","-","-","-","-"
"231",12,"Nikko Remigio",KC,"5","-","-","2 out of 5 stars","-"
"232",12,"Laquon Treadwell",IND,"13","-","-","4 out of 5 stars","-"
"233",13,"Cody White",SEA,"11","-","-","3 out of 5 stars","-"
"234",13,"J. Michael Sturdivant",GB,"11","-","-","5 out of 5 stars","-"
"235",13,"Deven Thompkins",LV,"13","-","-","2 out of 5 stars","-"
"236",13,"Kameron Johnson",TB,"10","-","-","4 out of 5 stars","-"
"237",13,"Devin Duvernay",ARI,"14","-","-","2 out of 5 stars","-"
"238",13,"Ronnie Bell",NO,"8","-","-","3 out of 5 stars","-"
